index,timestamp,age,industry,job title,job_title_context,salary,compensation,currency,other_currency,income_context,country,state,city,professional_experience_overall,professional_experience_in_specified_field,education,gender,race,total_salary,amount_usd
216,4/27/2021 11:06:51,39.5,engineering or manufacturing,software engineer,,139000,9000.0,USD,,,united states,washington,seattle,15.5,15.5,College degree,Woman,White,148000.0,148000.0
219,4/27/2021 11:06:53,29.5,"marketing, advertising & pr",marketing manager,,60000,0.0,CAD,,,canada,,remote worker,9.0,9.0,College degree,Woman,White,60000.0,44400.0
220,4/27/2021 11:06:54,49.5,education (primary/secondary),librarian,,70000,1000.0,USD,,,united states,texas,houston,25.5,15.5,Master's degree,Man,White,71000.0,71000.0
235,4/27/2021 11:07:08,49.5,computing or tech,business analyst,Procurement and contract management,88000,0.0,USD,,,united states,north carolina,raleigh,25.5,15.5,Master's degree,Woman,White,88000.0,88000.0
240,4/27/2021 11:07:10,29.5,"marketing, advertising & pr",communications manager,,86000,0.0,USD,,,united states,florida,orlando,6.0,6.0,College degree,Woman,White,86000.0,86000.0
241,4/27/2021 11:07:11,29.5,engineering or manufacturing,project manager,,78240,0.0,CAD,,,canada,alberta,calgary,6.0,6.0,Master's degree,Woman,White,78240.0,57897.6
245,4/27/2021 11:07:13,29.5,law,associate,3rd year associate,125000,0.0,USD,,,united states,tennessee,chattanooga,6.0,6.0,Master's degree,Woman,White,125000.0,125000.0
248,4/27/2021 11:07:14,29.5,health care,rn,,60000,0.0,USD,,,united states,tennessee,memphis,9.0,3.0,College degree,Woman,White,60000.0,60000.0
249,4/27/2021 11:07:17,29.5,law,associate,,190000,0.0,USD,,,united states,massachusetts,boston,1.0,1.0,Master's degree,Woman,White,190000.0,190000.0
252,4/27/2021 11:07:18,49.5,education (primary/secondary),teacher,,94000,0.0,USD,,,united states,connecticut,stamford,25.5,25.5,PhD,Woman,White,94000.0,94000.0
254,4/27/2021 11:07:19,39.5,government and public administration,administrative assistant,,49000,0.0,USD,,,united states,rhode island,newport,15.5,15.5,Some college,Woman,White,49000.0,49000.0
264,4/27/2021 11:07:27,59.5,"marketing, advertising & pr",graphic designer,,61000,0.0,USD,,,united states,illinois,mount prospect,35.5,35.5,College degree,Woman,White,61000.0,61000.0
270,4/27/2021 11:07:30,29.5,government and public administration,editor,,78167,0.0,USD,,,united states,district of columbia,washington ,6.0,6.0,Master's degree,Woman,White,78167.0,78167.0
278,4/27/2021 11:07:38,29.5,government and public administration,editor,,91000,2000.0,USD,,,united states,washington,,15.5,6.0,PhD,Woman,White,93000.0,93000.0
291,4/27/2021 11:07:45,49.5,environmental consulting,senior consultant,"I'm WAY under-titled. I have a PhD and 20 years of job experience, so I should have a much higher title. However, I don't WANT a higher job title because I have NO desire to manage people or budgets. I want to be left alone to do high-quality science.",105000,5000.0,USD,,,united states,georgia,atlanta,25.5,25.5,PhD,Woman,White,110000.0,110000.0
301,4/27/2021 11:07:53,49.5,education (higher education),associate professor,,54000,0.0,GBP,,,united kingdom,,london,25.5,25.5,PhD,Woman,White,54000.0,68040.0
302,4/27/2021 11:07:54,49.5,media & digital,editor,,120000,0.0,USD,,,united states,georgia,atlanta,25.5,25.5,Master's degree,Woman,Black or African American,120000.0,120000.0
314,4/27/2021 11:08:05,59.5,property or construction,accounting manager,Contract Administration,66000,0.0,USD,,,united states,texas,houston,35.5,25.5,College degree,Woman,White,66000.0,66000.0
316,4/27/2021 11:08:06,29.5,government and public administration,policy analyst,,78000,0.0,USD,,"Salaried, can accumulate comp time but not paid overtime (except in specific circumstances). Salaries are pre-set by government/civil service titles and union raises are about 3% per year, but I did receive a merit raise a couple of years ago.",united states,new york,new york city,6.0,3.0,Master's degree,Woman,White,78000.0,78000.0
317,4/27/2021 11:08:06,21.0,law,attorney,small firm,65000,5000.0,USD,,"percentage bonus based on profitability of the firm, small firm",united states,minnesota,minneapolis,3.0,3.0,Master's degree,Woman,White,70000.0,70000.0
318,4/27/2021 11:08:07,65.0,health care,rn,,110000,10000.0,USD,,,united states,wisconsin,milwaukee,41.0,35.5,Master's degree,Woman,White,120000.0,120000.0
323,4/27/2021 11:08:11,39.5,computing or tech,software engineer,,156000,189000.0,USD,,"Salary, stock, bonus",united states,massachusetts,boston,25.5,25.5,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,345000.0,345000.0
329,4/27/2021 11:08:14,29.5,nonprofits,program manager,My job requires a PhD,87000,0.0,CAD,,,canada,ontario,toronto,3.0,3.0,PhD,Woman,Another option not listed here or prefer not to answer,87000.0,64380.0
359,4/27/2021 11:08:37,59.5,health care,account manager,NOT sales,43500,0.0,USD,,"Bonus is at management discretion - no set amount, no set time",united states,pennsylvania,pittsburgh,25.5,15.5,College degree,Woman,White,43500.0,43500.0
366,4/27/2021 11:08:44,39.5,sales,administrative assistant,,49000,0.0,CAD,,,canada,quebec,montreal,25.5,15.5,Some college,Woman,White,49000.0,36260.0
368,4/27/2021 11:08:47,29.5,"accounting, banking & finance",staff accountant,,61800,1000.0,USD,,"No accounting or business degree, or salary would probably be higher. Working on it!",united states,ohio,cleveland,9.0,6.0,College degree,Man,White,62800.0,62800.0
374,4/27/2021 11:08:57,39.5,computing or tech,program manager,I do both management and technical work,157000,0.0,USD,,,united states,colorado,denver,25.5,25.5,College degree,Woman,White,157000.0,157000.0
377,4/27/2021 11:08:59,29.5,business or consulting,research associate,,65000,5000.0,USD,,,united states,district of columbia,,6.0,3.0,Master's degree,Woman,White,70000.0,70000.0
380,4/27/2021 11:09:02,39.5,computing or tech,business analyst,,85000,7000.0,USD,,,united states,pennsylvania,philadelphia,15.5,15.5,College degree,Woman,White,92000.0,92000.0
381,4/27/2021 11:09:03,49.5,education (primary/secondary),teacher,,94000,0.0,USD,,,united states,connecticut,stamford,25.5,25.5,PhD,Woman,White,94000.0,94000.0
383,4/27/2021 11:09:05,49.5,computing or tech,human resources manager,I manage Human Resources with the exception of Benefits.  ,88000,8800.0,USD,,"Bonus is 10% of base salary based on MBO, EBITDA and Share price (we are an employee owned company",united states,minnesota,minneapolis,9.0,9.0,College degree,Woman,White,96800.0,96800.0
387,4/27/2021 11:09:10,29.5,business or consulting,consultant,,134000,3000.0,USD,,The additional compensation is the commission on my target sales for the year,united states,oregon,portland,9.0,6.0,Master's degree,Woman,White,137000.0,137000.0
388,4/27/2021 11:09:11,39.5,hospitality & events,controller,Finance,98500,10000.0,USD,,,united states,florida,naples,25.5,25.5,College degree,Woman,White,108500.0,108500.0
391,4/27/2021 11:09:13,39.5,computing or tech,software engineer,,112000,0.0,USD,,,united states,florida,melbourne,15.5,9.0,College degree,Woman,White,112000.0,112000.0
400,4/27/2021 11:09:24,29.5,education (higher education),assistant professor,10-month contract,56000,8000.0,USD,,,united states,wisconsin,milwaukee,3.0,6.0,PhD,Woman,White,64000.0,64000.0
401,4/27/2021 11:09:26,21.0,nonprofits,program coordinator,,39000,0.0,USD,,,united states,district of columbia,washington ,3.0,3.0,College degree,Woman,White,39000.0,39000.0
403,4/27/2021 11:09:28,29.5,law,paralegal,,71500,1500.0,CAD,,,canada,ontario,toronto,9.0,6.0,College degree,Woman,White,73000.0,54020.0
406,4/27/2021 11:09:30,29.5,public health in higher education,program manager,I am not a program manager in a traditional sense. I just keep a program running. No PM training/background.,67000,9000.0,USD,,I received a bonus for my work during COVID.,united states,massachusetts,boston,9.0,9.0,Master's degree,Woman,White,76000.0,76000.0
411,4/27/2021 11:09:33,29.5,engineering or manufacturing,senior engineer,,100000,2500.0,USD,,,united states,colorado,golden,9.0,9.0,PhD,Woman,White,102500.0,102500.0
412,4/27/2021 11:09:34,39.5,property or construction,project manager,,52000,6000.0,USD,,,united states,south carolina,charleston,15.5,6.0,High School,Woman,White,58000.0,58000.0
413,4/27/2021 11:09:35,29.5,"accounting, banking & finance",senior associate,Basically a product manager,135000,5000.0,USD,,,united states,district of columbia,washington ,9.0,3.0,College degree,Woman,White,140000.0,140000.0
417,4/27/2021 11:09:38,21.0,law enforcement & security,library assistant,,49000,1000.0,USD,,,united states,massachusetts,boston,3.0,3.0,College degree,Woman,White,50000.0,50000.0
424,4/27/2021 11:09:45,29.5,government and public administration,archivist,,107000,0.0,USD,,,united states,maryland,college park,9.0,6.0,Master's degree,Woman,White,107000.0,107000.0
434,4/27/2021 11:09:53,49.5,computing or tech,instructional designer,,80000,0.0,USD,,,united states,north carolina,durham,25.5,3.0,College degree,Woman,White,80000.0,80000.0
436,4/27/2021 11:09:54,29.5,computing or tech,data analyst,,885000,0.0,INR,INR,,india,,pune,3.0,3.0,Master's degree,Woman,Asian or Asian American,885000.0,18585.0
441,4/27/2021 11:10:01,39.5,engineering or manufacturing,hr manager,,83500,500.0,USD,,,united states,south carolina,columbia ,15.5,15.5,Master's degree,Woman,White,84000.0,84000.0
442,4/27/2021 11:10:01,39.5,computing or tech,director of operations,,85000,0.0,GBP,,,united kingdom,,london,15.5,6.0,College degree,Woman,White,85000.0,107100.0
447,4/27/2021 11:10:05,29.5,property or construction,hr manager,,82400,0.0,USD,,,united states,washington,seattle,9.0,6.0,College degree,Woman,,82400.0,82400.0
454,4/27/2021 11:10:09,29.5,computing or tech,product manager,Senior-level,201000,80000.0,USD,,,united states,illinois,chicago,9.0,6.0,Master's degree,Man,White,281000.0,281000.0
455,4/27/2021 11:10:10,39.5,computing or tech,engineering manager,,210000,70000.0,USD,,,united states,new york,new york city,15.5,15.5,Some college,Man,Asian or Asian American,280000.0,280000.0
456,4/27/2021 11:10:11,29.5,computing or tech,customer success manager,,115000,28000.0,USD,,,united states,colorado,denver,15.5,6.0,College degree,Woman,White,143000.0,143000.0
457,4/27/2021 11:10:12,29.5,computing or tech,software engineer,,80000,3000.0,USD,,,united states,minnesota,minneapolis,1.0,1.0,Some college,Non-binary,White,83000.0,83000.0
463,4/27/2021 11:10:18,29.5,nonprofits,managing editor,Managing Editor for the academic journal of a nonprofit professional organization,80000,0.0,USD,,,united states,washington,seattle,3.0,15.5,Master's degree,Woman,White,80000.0,80000.0
478,4/27/2021 11:10:31,39.5,nonprofits,director,,110000,0.0,USD,,,united states,virginia,annandale,15.5,15.5,Master's degree,Woman,White,110000.0,110000.0
480,4/27/2021 11:10:31,39.5,property or construction,accounting manager,,75000,0.0,USD,,,united states,oregon,prineville,25.5,25.5,College degree,Woman,White,75000.0,75000.0
487,4/27/2021 11:10:38,59.5,engineering or manufacturing,controller,,100000,4000.0,USD,,,united states,vermont,rutland,25.5,25.5,College degree,Woman,White,104000.0,104000.0
491,4/27/2021 11:10:40,49.5,engineering or manufacturing,executive assistant,,65000,7000.0,USD,,,united states,michigan,ann arbor,15.5,15.5,College degree,Woman,White,72000.0,72000.0
492,4/27/2021 11:10:43,29.5,hospitality & events,senior manager,,75000,25000.0,USD,,,united states,california,los angeles,6.0,6.0,College degree,,White,100000.0,100000.0
506,4/27/2021 11:10:58,39.5,computing or tech,software developer,,92000,15000.0,CAD,,,canada,manitoba,winnipeg,15.5,15.5,College degree,Man,White,107000.0,79180.0
512,4/27/2021 11:11:06,59.5,nonprofits,senior editor,,72000,2500.0,USD,,,united states,florida,leesburg,25.5,15.5,College degree,Woman,Another option not listed here or prefer not to answer,74500.0,74500.0
517,4/27/2021 11:11:09,29.5,nonprofits,program coordinator,Direct service provider,38110,720.0,USD,,,united states,texas,austin,6.0,6.0,Master's degree,Non-binary,White,38830.0,38830.0
519,4/27/2021 11:11:10,29.5,law,paralegal,,53000,0.0,USD,,,united states,minnesota,minneapolis,9.0,9.0,College degree,Woman,White,53000.0,53000.0
525,4/27/2021 11:11:12,29.5,business or consulting,executive assistant,,52000,100.0,CAD,,,canada,british columbia,vancouver,15.5,9.0,Some college,Woman,White,52100.0,38554.0
530,4/27/2021 11:11:17,29.5,law,legal assistant,,40000,2000.0,CAD,,,canada,ontario,toronto,6.0,3.0,College degree,Woman,White,42000.0,31080.0
534,4/27/2021 11:11:20,39.5,social work,program director,,70000,0.0,USD,,,united states,minnesota,saint paul,15.5,6.0,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",70000.0,70000.0
541,4/27/2021 11:11:31,49.5,education (higher education),assistant director,A department that has Funky/tech and reporting responsibilities - supporting functional users in Finance and HR,90000,2500.0,USD,,,united states,tennessee,memphis,25.5,25.5,Master's degree,Woman,White,92500.0,92500.0
543,4/27/2021 11:11:32,49.5,"accounting, banking & finance",instructional designer,,71750,0.0,CAD,,,canada,ontario,toronto on,9.0,6.0,Master's degree,Woman,White,71750.0,53095.0
545,4/27/2021 11:11:34,29.5,law,attorney,Self-employed,80000,12000.0,USD,,,united states,pennsylvania,pittsburgh,9.0,9.0,PhD,Woman,White,92000.0,92000.0
546,4/27/2021 11:11:34,39.5,computing or tech,director of operations,,153000,30000.0,USD,,,united states,new york,new york city,15.5,15.5,College degree,Woman,White,183000.0,183000.0
553,4/27/2021 11:11:41,39.5,engineering or manufacturing,project manager,,65000,1000.0,USD,,,united states,pennsylvania,stroudsburg,9.0,3.0,Master's degree,Man,White,66000.0,66000.0
555,4/27/2021 11:11:42,29.5,computing or tech,product manager,,85000,0.0,USD,,,united states,massachusetts,boston,6.0,1.0,Some college,Woman,White,85000.0,85000.0
557,4/27/2021 11:11:44,29.5,"accounting, banking & finance",staff accountant,,53000,0.0,USD,,,united states,idaho,twin falls,15.5,15.5,Master's degree,Woman,White,53000.0,53000.0
567,4/27/2021 11:11:56,29.5,"accounting, banking & finance",partner,professional services partner,200000,0.0,USD,,,united states,tennessee,nashville,15.5,15.5,Master's degree,Woman,White,200000.0,200000.0
578,4/27/2021 11:12:01,39.5,nonprofits,senior product manager,,117000,0.0,USD,,,united states,massachusetts,cambridge,15.5,15.5,Master's degree,Woman,White,117000.0,117000.0
583,4/27/2021 11:12:08,49.5,health care,rn,,97000,0.0,CAD,,,canada,saskatchewan,saskatoon,35.5,35.5,College degree,Woman,White,97000.0,71780.0
597,4/27/2021 11:12:20,49.5,computing or tech,manager,,144000,14000.0,USD,,,united states,arkansas,fort smith,25.5,25.5,Master's degree,Man,White,158000.0,158000.0
601,4/27/2021 11:12:22,29.5,"accounting, banking & finance",program manager,,87000,0.0,USD,,,united states,delaware,wilmington,15.5,3.0,Master's degree,Woman,White,87000.0,87000.0
602,4/27/2021 11:12:22,39.5,education (higher education),program coordinator,,35140,0.0,USD,,,united states,montana,bozeman,15.5,9.0,Master's degree,Woman,White,35140.0,35140.0
604,4/27/2021 11:12:23,49.5,education (higher education),director,Lead administrative office at a private institution of higher education,120000,0.0,USD,,,united states,massachusetts,boston,25.5,15.5,Master's degree,Woman,White,120000.0,120000.0
610,4/27/2021 11:12:29,29.5,nonprofits,marketing manager,,80000,0.0,USD,,,united states,massachusetts,boston,6.0,6.0,College degree,Woman,White,80000.0,80000.0
617,4/27/2021 11:12:35,49.5,computing or tech,executive director,,200000,100000.0,USD,,,united states,new york,new york city,25.5,25.5,College degree,Woman,Black or African American,300000.0,300000.0
618,4/27/2021 11:12:35,59.5,retail,manager,Learning & Development,110000,10000.0,USD,,Bonus depends on the tax season,united states,missouri,kansas city,15.5,15.5,Master's degree,Woman,White,120000.0,120000.0
619,4/27/2021 11:12:36,59.5,education (higher education),academic advisor,,58000,0.0,USD,,,united states,north carolina,raleigh,41.0,25.5,PhD,Woman,White,58000.0,58000.0
629,4/27/2021 11:12:45,49.5,"accounting, banking & finance",executive assistant,,75000,6000.0,CAD,,,canada,alberta,calgary,25.5,9.0,College degree,Woman,White,81000.0,59940.0
639,4/27/2021 11:12:56,59.5,government contractor,senior editor,,105000,0.0,USD,,,united states,district of columbia,washington ,25.5,25.5,College degree,Woman,Native American or Alaska Native,105000.0,105000.0
640,4/27/2021 11:12:56,29.5,education (higher education),web developer,,94000,0.0,USD,,,united states,massachusetts,boston,9.0,9.0,College degree,Woman,White,94000.0,94000.0
642,4/27/2021 11:12:58,49.5,property or construction,project manager,,52800,3600.0,USD,,,united states,arizona,phoenix,25.5,15.5,High School,Woman,White,56400.0,56400.0
646,4/27/2021 11:12:58,29.5,retail,marketing manager,"Campaign-based database marketing, specifically email marketing, SMS, push notifications etc.",87550,2000.0,USD,,,united states,california,san diego,9.0,6.0,College degree,Woman,Asian or Asian American,89550.0,89550.0
650,4/27/2021 11:13:04,29.5,government and public administration,project manager,,46000,0.0,GBP,,,united kingdom,,london,15.5,6.0,Master's degree,Woman,White,46000.0,57960.0
654,4/27/2021 11:13:09,39.5,renewable energy,operations manager,,127500,7500.0,USD,,,united states,california,san diego,15.5,15.5,Master's degree,Woman,White,135000.0,135000.0
658,4/27/2021 11:13:12,29.5,media & digital,senior analyst,,86000,0.0,USD,,,united states,new york,new york city,9.0,6.0,College degree,Man,White,86000.0,86000.0
659,4/27/2021 11:13:13,29.5,engineering or manufacturing,controller,,112000,15000.0,CAD,,CPA designation,canada,british columbia,chilliwack bc,9.0,9.0,College degree,Woman,White,127000.0,93980.0
661,4/27/2021 11:13:14,49.5,utilities & telecommunications,financial analyst,I manage the forecast/budget process for cell phone tower construction.,87360,0.0,USD,,,united states,texas,houston,25.5,15.5,,Woman,Black or African American,87360.0,87360.0
663,4/27/2021 11:13:17,49.5,law,accounting manager,,81000,5000.0,USD,,,united states,texas,houston,15.5,15.5,College degree,Woman,White,86000.0,86000.0
676,4/27/2021 11:13:28,29.5,nonprofits,project manager,Environmental Health,65818,1000.0,USD,,,united states,illinois,chicago,6.0,6.0,College degree,Woman,White,66818.0,66818.0
677,4/27/2021 11:13:28,39.5,utilities & telecommunications,associate director,,133540,20000.0,USD,,,united states,texas,dallas,15.5,6.0,Master's degree,Woman,White,153540.0,153540.0
681,4/27/2021 11:13:29,59.5,publishing,graphic designer,,83500,0.0,USD,,,united states,oklahoma,noble,41.0,25.5,Some college,Woman,White,83500.0,83500.0
688,4/27/2021 11:13:34,49.5,government and public administration,supervisor,,78000,1400.0,USD,,,united states,texas,austin,25.5,15.5,Master's degree,Woman,White,79400.0,79400.0
691,4/27/2021 11:13:39,29.5,education (higher education),librarian,,44000,0.0,USD,,,united states,georgia,atlanta,9.0,3.0,Master's degree,Woman,White,44000.0,44000.0
696,4/27/2021 11:13:42,29.5,law,paralegal,,72000,25000.0,USD,,,united states,texas,houston,15.5,15.5,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",97000.0,97000.0
698,4/27/2021 11:13:42,29.5,business or consulting,senior consultant,,85000,500.0,USD,,,united states,virginia,alexandria,15.5,15.5,Master's degree,Woman,White,85500.0,85500.0
708,4/27/2021 11:13:52,49.5,health care,senior director,,176500,0.0,USD,,,united states,pennsylvania,philadelphia,25.5,15.5,PhD,Woman,White,176500.0,176500.0
712,4/27/2021 11:13:59,29.5,government and public administration,research analyst,Private consultant for government research,84000,0.0,USD,,,united states,illinois,chicago,6.0,6.0,Master's degree,Woman,White,84000.0,84000.0
719,4/27/2021 11:14:03,49.5,education (higher education),professor,,81000,0.0,USD,,,united states,texas,,25.5,15.5,PhD,Woman,White,81000.0,81000.0
